Path,SizeMB,LoadType,CompressionFormat,Quality,SampleRateSetting,SampleRateOverride,ForceToMono,Flags
"Assets/_Project/Audio/Ambient/spaceship sounds - ambient.mp3",1.934,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Atmos 1 Loop.wav",23.438,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"DECOMPRESS_ON_LOAD_GT_1MB"
"Assets/_Project/Audio/Atmos 1.wav",25.269,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"DECOMPRESS_ON_LOAD_GT_1MB"
"Assets/_Project/Audio/Atmos 2 Loop.wav",23.438,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"DECOMPRESS_ON_LOAD_GT_1MB"
"Assets/_Project/Audio/Atmos 2.wav",24.902,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"DECOMPRESS_ON_LOAD_GT_1MB"
"Assets/_Project/Audio/Atmos 3 Loop.wav",21.973,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"DECOMPRESS_ON_LOAD_GT_1MB"
"Assets/_Project/Audio/Atmos 3.wav",23.804,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"DECOMPRESS_ON_LOAD_GT_1MB"
"Assets/_Project/Audio/Atmos 4 Loop.wav",21.973,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"DECOMPRESS_ON_LOAD_GT_1MB"
"Assets/_Project/Audio/Atmos 4.wav",23.621,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"DECOMPRESS_ON_LOAD_GT_1MB"
"Assets/_Project/Audio/Atmos 5 Loop.wav",21.973,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"DECOMPRESS_ON_LOAD_GT_1MB"
"Assets/_Project/Audio/Atmos 5.wav",23.254,"DecompressOnLoad","Vorbis",1.000,"PreserveSampleRate",44100,False,"DECOMPRESS_ON_LOAD_GT_1MB"
"Assets/_Project/Audio/Breathing/breathing breath in and out 1.mp3",0.275,"CompressedInMemory","Vorbis",0.600,"OverrideSampleRate",22050,True,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Breathing/breathing rhytmic 8s - 3 breath in and 3 out.wav",0.751,"CompressedInMemory","Vorbis",0.600,"OverrideSampleRate",22050,True,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Breathing/inside suit sounds (too loud).wav",15.141,"CompressedInMemory","Vorbis",0.600,"OverrideSampleRate",22050,True,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (1).ogg",0.008,"DecompressOnLoad","Vorbis",0.700,"OverrideSampleRate",22050,True,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (2).ogg",0.008,"DecompressOnLoad","Vorbis",0.700,"OverrideSampleRate",22050,True,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (3).ogg",0.008,"DecompressOnLoad","Vorbis",0.700,"OverrideSampleRate",22050,True,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (4).ogg",0.008,"DecompressOnLoad","Vorbis",0.700,"OverrideSampleRate",22050,True,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Footsteps/Metal/metal step (1).wav",0.089,"DecompressOnLoad","Vorbis",0.600,"OverrideSampleRate",22050,True,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Footsteps/Metal/metal step (2).wav",0.131,"DecompressOnLoad","Vorbis",0.600,"OverrideSampleRate",22050,True,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Footsteps/Metal/metal step (3).wav",0.102,"DecompressOnLoad","Vorbis",0.600,"OverrideSampleRate",22050,True,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Footsteps/Metal/metal step (4).wav",0.105,"DecompressOnLoad","Vorbis",0.600,"OverrideSampleRate",22050,True,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Footsteps/Rock/rock step (1).wav",0.045,"DecompressOnLoad","Vorbis",1.000,"OverrideSampleRate",22050,False,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Footsteps/Rock/rock step (2).wav",0.041,"DecompressOnLoad","Vorbis",1.000,"OverrideSampleRate",22050,False,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Footsteps/Rock/rock step (3).wav",0.036,"DecompressOnLoad","Vorbis",1.000,"OverrideSampleRate",22050,False,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Footsteps/Rock/rock step (4).wav",0.042,"DecompressOnLoad","Vorbis",1.000,"OverrideSampleRate",22050,False,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Footsteps/Sand/sand step  (1).wav",0.121,"DecompressOnLoad","Vorbis",0.680,"OverrideSampleRate",22050,False,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Footsteps/Sand/sand step  (2).wav",0.142,"DecompressOnLoad","Vorbis",0.680,"OverrideSampleRate",22050,False,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Footsteps/Sand/sand step  (3).wav",0.199,"DecompressOnLoad","Vorbis",0.680,"OverrideSampleRate",22050,False,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Footsteps/Sand/sand step  (4).wav",0.156,"DecompressOnLoad","Vorbis",0.680,"OverrideSampleRate",22050,False,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Footsteps/Wet/wet step (1).wav",0.458,"DecompressOnLoad","Vorbis",0.650,"OverrideSampleRate",22050,True,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Footsteps/Wet/wet step (2).wav",0.529,"DecompressOnLoad","Vorbis",0.650,"OverrideSampleRate",22050,True,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Footsteps/Wet/wet step (3).wav",0.424,"DecompressOnLoad","Vorbis",0.650,"OverrideSampleRate",22050,True,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Footsteps/Wet/wet step (4).wav",0.542,"DecompressOnLoad","Vorbis",0.650,"OverrideSampleRate",22050,True,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Impact/landing-hardsurface.wav",0.062,"DecompressOnLoad","Vorbis",0.700,"OverrideSampleRate",22050,True,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Impact/landing-softsurface.wav",0.038,"DecompressOnLoad","Vorbis",0.700,"OverrideSampleRate",22050,True,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Movement/dive_splash.wav",0.292,"CompressedInMemory","Vorbis",0.700,"OverrideSampleRate",22050,True,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Movement/swimming - underwater.ogg",0.029,"CompressedInMemory","Vorbis",0.700,"OverrideSampleRate",22050,True,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Movement/swimming -onwater.wav",3.423,"CompressedInMemory","Vorbis",0.700,"OverrideSampleRate",22050,True,"SFX_EXPECT_ADPCM"
"Assets/_Project/Audio/Music for Game/abyss_1_Pitch-Black Silence.ogg",1.322,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/abyss_2_Twelve_Leagues_of_Iron.ogg",2.028,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/abyss_3_Deep Trench Drone.ogg",4.315,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/abyss_4_Hull_At_Capacity.ogg",2.033,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/abyss_5_Hull_Under_Strain.ogg",1.803,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/abyss_6_Deep Water Pressure Hum (1).ogg",3.664,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/abyss_7_Deep Water Pressure Hum.ogg",2.926,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/abyss_8_Below_the_Surface_Weight.ogg",1.780,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/abyss_9_Iron_Under_Pressure.ogg",1.645,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/abyss_10_or_ambient_deep_5_Seven_Miles_Under.ogg",1.686,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/abyss_termal_1_Steam-Drip Clatter.ogg",1.590,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/abyss_termal_2_Steam-Teeth Ritual.ogg",1.837,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/abyss_termal_3_Steam-Teeth Ritual (1).ogg",2.457,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
"Assets/_Project/Audio/Music for Game/ambient_deep_1_Underwater Muffled Silence.ogg",1.981,"Streaming","Vorbis",0.800,"PreserveSampleRate",44100,False,""
