Path,Shader,RenderQueue,KeywordCount,Keywords,Flags
"Assets/_Project/_Archive/Mat_Ocean.mat","Hecton/HectonOcean",2450,0,"","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/Mat_HectonClouds.mat","Universal Render Pipeline/Lit",3000,2,"_ALPHAPREMULTIPLY_ON|_SURFACE_TYPE_TRANSPARENT","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/Mat_HectonSurface.mat","Universal Render Pipeline/Lit",2000,2,"_NORMALMAP|_PARALLAXMAP",""
"Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/Materials/clouds0_diff.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Fonts/NotoSans-Regular.ttf","GUI/Text Shader",3000,0,"","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/Art/Fonts/NotoSansArabic-Regular.ttf","GUI/Text Shader",3000,0,"","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/Art/Fonts/NotoSansCJKjp-Regular.otf","GUI/Text Shader",3000,0,"","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/Art/Fonts/NotoSansCJKsc-Regular.otf","GUI/Text Shader",3000,0,"","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/Art/Materials/Celestial/MAT_CelestialMoon_Ione.mat","HECTON/Celestial/Hecton_CelestialMoon",2000,0,"",""
"Assets/_Project/Art/Materials/Celestial/MAT_CelestialMoon_Khepri.mat","HECTON/Celestial/Hecton_CelestialMoon",2000,0,"",""
"Assets/_Project/Art/Materials/Celestial/MAT_CelestialMoon_Nammu.mat","HECTON/Celestial/Hecton_CelestialMoon",2000,0,"",""
"Assets/_Project/Art/Materials/Celestial/MAT_CelestialMoon_Pelagia.mat","HECTON/Celestial/Hecton_CelestialMoon",2000,0,"",""
"Assets/_Project/Art/Materials/Celestial/MAT_CelestialMoon_Thalos.mat","HECTON/Celestial/Hecton_CelestialMoon",2000,0,"",""
"Assets/_Project/Art/Materials/Celestial/MAT_CelestialMoon_Varda.mat","HECTON/Celestial/Hecton_CelestialMoon",2000,0,"",""
"Assets/_Project/Art/Materials/Construction/Mat_BuildGhost_Invalid.mat","Universal Render Pipeline/Lit",3000,2,"_ALPHAPREMULTIPLY_ON|_SURFACE_TYPE_TRANSPARENT","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/Art/Materials/Construction/Mat_BuildGhost_Valid.mat","Universal Render Pipeline/Lit",3000,2,"_ALPHAPREMULTIPLY_ON|_SURFACE_TYPE_TRANSPARENT","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/Art/Materials/Construction/Mat_LeakWetSheen.mat","Triplebrick/Glass",3000,2,"_ALPHABLEND_ON|_NORMALMAP","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/Art/Materials/Construction/Mat_Module_Corridor.mat","Hecton8/Environment/Hecton_DryZoneLit",2000,0,"",""
"Assets/_Project/Art/Materials/Construction/Mat_Module_CurrentTurbine.mat","Hecton8/Environment/Hecton_DryZoneLit",2000,0,"",""
"Assets/_Project/Art/Materials/Construction/Mat_Module_Foundation.mat","Hecton8/Environment/Hecton_DryZoneLit",2000,0,"",""
"Assets/_Project/Art/Materials/Construction/Mat_Module_Pylon.mat","Hecton8/Environment/Hecton_DryZoneLit",2000,0,"",""
"Assets/_Project/Art/Materials/Construction/Mat_Module_ServicePump.mat","Hecton8/Environment/Hecton_DryZoneLit",2000,0,"",""
"Assets/_Project/Art/Materials/Construction/Mat_RuinSeepSheen.mat","HECTON/Environment/RuinSeepSheen",3000,0,"","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/Art/Materials/Construction/Mat_ToolTrial_Anchor.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Construction/Mat_ToolTrial_Cargo.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Construction/Mat_ToolTrial_Combat.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Construction/Mat_ToolTrial_Dark.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Construction/Mat_ToolTrial_Dormant.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Construction/Mat_ToolTrial_Heavy.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Construction/Mat_ToolTrial_Scan.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Diagnostics/MAT_ErrorCube.mat","Universal Render Pipeline/Lit",2000,0,"",""
"Assets/_Project/Art/Materials/Fonts/NotoSans-Regular SDF.asset","TextMeshPro/Distance Field",3000,0,"","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/Art/Materials/Fonts/NotoSansArabic-Prime SDF.asset","TextMeshPro/Distance Field",3000,0,"","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/Art/Materials/Fonts/NotoSansArabic-Regular SDF.asset","TextMeshPro/Distance Field",3000,0,"","TRANSPARENT_QUEUE_FILLRATE_RISK"
"Assets/_Project/Art/Materials/Fonts/NotoSansCJKjp-Regular SDF.asset","TextMeshPro/Distance Field",3000,0,"","TRANSPARENT_QUEUE_FILLRATE_RISK"
