Project,ExitCode,Warnings,Errors
"AIToASE.csproj",0,0,0
"AmplifyImpostors.Editor.csproj",0,0,0
"AmplifyImpostors.Runtime.csproj",0,0,0
"AmplifyShaderEditor.csproj",0,0,0
"Assembly-CSharp.csproj",0,0,0
"Assembly-CSharp-Editor.csproj",0,0,0
"Assembly-CSharp-Editor-firstpass.csproj",0,0,0
"Assembly-CSharp-firstpass.csproj",0,0,0
"AstarPathfindingProject.csproj",0,0,0
"AstarPathfindingProjectEditor.csproj",0,0,0
"BakeryEditorAssembly.csproj",0,0,0
"BakeryRuntimeAssembly.csproj",0,0,0
"Crest.csproj",0,0,0
"Crest.Helpers.Editor.csproj",0,0,0
"Den.Tools.csproj",0,0,0
"Den.Tools.Editor.csproj",0,0,0
"Docs\DEPRECATED\Documentation_Bundles_2026-05-21_SANITIZED\SPACE_ENGINE_RESEARCH\HectonSandboxAbyssalShelfStandaloneSmoke\HectonSandboxAbyssalShelfStandaloneSmoke.csproj",0,0,0
"Docs\DEPRECATED\Documentation_Bundles_2026-05-21_SANITIZED\SPACE_ENGINE_RESEARCH\SpaceEngineResearchSmokeTester.csproj",0,0,0
"EasySave3.csproj",0,0,0
"EasySave3Editor.csproj",0,0,0
"GPUInstancer.csproj",0,0,0
"GPUInstancer.Editor.csproj",0,0,0
"Hecton8.Bootstrap.Contracts.csproj",0,0,0
"Hecton8.Core.csproj",0,0,0
"Hecton8.Editor.csproj",0,0,0
"Hecton8.Input.csproj",0,0,0
"Hecton8.Input.Generated.csproj",0,0,0
"Hecton8.PlayModeTests.csproj",0,0,0
"Hecton8.World.Contracts.csproj",0,0,0
"Hecton8.World.Dots.csproj",0,0,0
"JBooth.MicroSplat.Core.csproj",0,0,0
"JBooth.MicroSplat.Core.Editor.csproj",0,0,0
"Lofelt.NiceVibrations.csproj",0,0,0
"Lofelt.NiceVibrations.Demo.csproj",0,0,0
"Lofelt.NiceVibrations.Editor.csproj",0,0,0
"MapMagic.csproj",0,0,0
"MapMagic.Editor.csproj",0,0,0
"MapMagic.MicroSplat.csproj",0,0,0
"MapMagic.MicroSplat.Editor.csproj",0,0,0
"MapMagic.Settings.csproj",0,0,0
"MeshBakerCore.csproj",0,0,0
"MeshBakerEditor.csproj",0,0,0
"MoreMountains.Feedbacks.Authorizations.csproj",0,0,0
"MoreMountains.Feedbacks.Cinemachine.csproj",0,0,0
"MoreMountains.Feedbacks.csproj",0,0,0
"MoreMountains.Feedbacks.Editor.csproj",0,0,0
"MoreMountains.Feedbacks.HDRP.csproj",0,0,0
"MoreMountains.Feedbacks.MMTools.csproj",0,0,0
"MoreMountains.Feedbacks.NiceVibrations.csproj",0,0,0
"MoreMountains.Feedbacks.PostProcessing.csproj",0,0,0
"MoreMountains.Feedbacks.TextMeshPro.csproj",0,0,0
"MoreMountains.Feedbacks.URP.csproj",0,0,0
"MoreMountains.Tools.csproj",0,0,0
"MoreMountains.Tools.Editor.csproj",0,0,0
"PackageToolsEditor.csproj",0,0,0
"RealtimeCSG.csproj",0,0,0
"ShapesEditor.csproj",0,0,0
"ShapesRuntime.csproj",0,0,0
"Sirenix.OdinInspector.Modules.UnityMathematics.csproj",0,0,0
"Tayx.Graphy.csproj",0,0,0
"Tayx.Graphy.Editor.csproj",0,0,0
"Technie.PhysicsCreator.Updater.csproj",0,0,0
"TechniePhysicsCreator.csproj",0,0,0
"TechniePhysicsCreatorEditor.csproj",0,0,0
"Tools\RoslynAnalyzers\Hecton8.PlatformNeutralityAnalyzer\Hecton8.PlatformNeutralityAnalyzer.csproj",0,0,0
"Tools\SignalBusContractAuditCli\SignalBusContractAuditCli.csproj",0,0,0
"Unity.RenderPipelines.Core.Editor.csproj",0,0,0
"Unity.RenderPipelines.Universal.Editor.csproj",0,0,0
"Unity.RenderPipelines.Universal.Runtime.csproj",0,0,0
"Unity.ShaderGraph.Editor.csproj",0,0,0
"VolumetricLightBeam.csproj",0,0,0
"VolumetricLightBeam.Editor.csproj",0,0,0
