"path","class","extension","size_mb","duration_sec","has_meta","load_type","compression_format","quality","sample_rate_setting"
"Assets/_Project/Audio/Ambient/spaceship sounds - ambient.mp3","ambient","mp3","1.934","63.336","True","2","1","0.45","2"
"Assets/_Project/Audio/Atmos 1 Loop.wav","ambient","wav","23.438","128","True","2","1","0.45","2"
"Assets/_Project/Audio/Atmos 1.wav","ambient","wav","25.269","138","True","1","1","0.7","2"
"Assets/_Project/Audio/Atmos 2 Loop.wav","ambient","wav","23.438","128","True","2","1","0.45","2"
"Assets/_Project/Audio/Atmos 2.wav","ambient","wav","24.902","136","True","2","1","0.45","2"
"Assets/_Project/Audio/Atmos 3 Loop.wav","ambient","wav","21.973","120","True","1","1","0.7","2"
"Assets/_Project/Audio/Atmos 3.wav","ambient","wav","23.804","130","True","2","1","0.45","2"
"Assets/_Project/Audio/Atmos 4 Loop.wav","ambient","wav","21.973","120","True","1","1","0.7","2"
"Assets/_Project/Audio/Atmos 4.wav","ambient","wav","23.621","129","True","1","1","0.7","2"
"Assets/_Project/Audio/Atmos 5 Loop.wav","ambient","wav","21.973","120","True","2","1","0.45","2"
"Assets/_Project/Audio/Atmos 5.wav","ambient","wav","23.254","127","True","2","1","0.45","2"
"Assets/_Project/Audio/Breathing/breathing breath in and out 1.mp3","sfx","mp3","0.275","7.212","True","2","1","0.45","2"
"Assets/_Project/Audio/Breathing/breathing rhytmic 8s - 3 breath in and 3 out.wav","sfx","wav","0.751","8.925","True","1","1","0.7","2"
"Assets/_Project/Audio/Breathing/inside suit sounds (too loud).wav","ui","wav","15.141","60","True","2","1","0.45","2"
"Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (1).ogg","sfx","ogg","0.008","0.375","True","0","2","0.7","2"
"Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (2).ogg","sfx","ogg","0.008","0.375","True","0","2","0.7","2"
"Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (3).ogg","sfx","ogg","0.008","0.375","True","0","2","0.7","2"
"Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (4).ogg","sfx","ogg","0.008","0.375","True","0","2","0.7","2"
"Assets/_Project/Audio/Footsteps/Metal/metal step (1).wav","sfx","wav","0.089","0.614","True","0","2","0.59999996","2"
"Assets/_Project/Audio/Footsteps/Metal/metal step (2).wav","sfx","wav","0.131","0.914","True","0","2","0.59999996","2"
"Assets/_Project/Audio/Footsteps/Metal/metal step (3).wav","sfx","wav","0.102","0.706","True","1","2","0.59999996","2"
"Assets/_Project/Audio/Footsteps/Metal/metal step (4).wav","sfx","wav","0.105","0.73","True","1","2","0.59999996","2"
"Assets/_Project/Audio/Footsteps/Rock/rock step (1).wav","sfx","wav","0.045","0.525","True","0","2","1","2"
"Assets/_Project/Audio/Footsteps/Rock/rock step (2).wav","sfx","wav","0.041","0.476","True","0","2","1","2"
"Assets/_Project/Audio/Footsteps/Rock/rock step (3).wav","sfx","wav","0.036","0.42","True","0","2","1","2"
"Assets/_Project/Audio/Footsteps/Rock/rock step (4).wav","sfx","wav","0.042","0.49","True","0","2","1","2"
"Assets/_Project/Audio/Footsteps/Sand/sand step  (1).wav","sfx","wav","0.121","0.44","True","0","2","0.68","2"
"Assets/_Project/Audio/Footsteps/Sand/sand step  (2).wav","sfx","wav","0.142","0.517","True","0","2","0.68","2"
"Assets/_Project/Audio/Footsteps/Sand/sand step  (3).wav","sfx","wav","0.199","0.726","True","0","2","0.68","2"
"Assets/_Project/Audio/Footsteps/Sand/sand step  (4).wav","sfx","wav","0.156","0.569","True","0","2","0.68","2"
"Assets/_Project/Audio/Footsteps/Wet/wet step (1).wav","sfx","wav","0.458","0.832","True","0","2","0.65","2"
"Assets/_Project/Audio/Footsteps/Wet/wet step (2).wav","sfx","wav","0.529","0.962","True","1","2","0.65","2"
"Assets/_Project/Audio/Footsteps/Wet/wet step (3).wav","sfx","wav","0.424","0.771","True","0","2","0.65","2"
"Assets/_Project/Audio/Footsteps/Wet/wet step (4).wav","sfx","wav","0.542","0.984","True","0","2","0.65","2"
"Assets/_Project/Audio/Impact/landing-hardsurface.wav","sfx","wav","0.062","0.736","True","1","2","0.45","2"
"Assets/_Project/Audio/Impact/landing-softsurface.wav","sfx","wav","0.038","0.452","True","0","2","0.45","2"
"Assets/_Project/Audio/Movement/dive_splash.wav","sfx","wav","0.292","1.729","True","1","2","0.7","2"
"Assets/_Project/Audio/Movement/swimming - underwater.ogg","sfx","ogg","0.029","6.428","True","2","1","0.45","2"
"Assets/_Project/Audio/Movement/swimming -onwater.wav","sfx","wav","3.423","12.459","True","2","1","0.45","2"
"Assets/_Project/Audio/Music for Game/abyss_1_Pitch-Black Silence.ogg","music","ogg","1.322","113.96","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/abyss_10_or_ambient_deep_5_Seven_Miles_Under.ogg","music","ogg","1.686","145.842","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/abyss_2_Twelve_Leagues_of_Iron.ogg","music","ogg","2.028","175.517","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/abyss_3_Deep Trench Drone.ogg","music","ogg","4.315","372.96","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/abyss_4_Hull_At_Capacity.ogg","music","ogg","2.033","175.882","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/abyss_5_Hull_Under_Strain.ogg","music","ogg","1.803","155.873","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/abyss_6_Deep Water Pressure Hum (1).ogg","music","ogg","3.664","317.28","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/abyss_7_Deep Water Pressure Hum.ogg","music","ogg","2.926","253.28","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/abyss_8_Below_the_Surface_Weight.ogg","music","ogg","1.78","153.887","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/abyss_9_Iron_Under_Pressure.ogg","music","ogg","1.645","142.08","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/abyss_termal_1_Steam-Drip Clatter.ogg","music","ogg","1.59","137.28","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/abyss_termal_2_Steam-Teeth Ritual.ogg","music","ogg","1.837","158.72","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/abyss_termal_3_Steam-Teeth Ritual (1).ogg","music","ogg","2.457","212.2","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/ambient_deep_1_Underwater Muffled Silence.ogg","music","ogg","1.981","171.36","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/ambient_deep_2_Underwater Muffled Silence (1).ogg","music","ogg","1.298","112.12","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/ambient_deep_3_The_Leviathan_s_Watch.ogg","music","ogg","1.643","142.028","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/ambient_deep_4_krasiviy_Six_Miles_Under.ogg","music","ogg","1.691","146.26","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/ambient_dlinni_1_Sub-Bass Throb.ogg","music","ogg","4.707","407.72","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/ambient_dlinni_2_Sub-Bass Hive.ogg","music","ogg","4.382","379.08","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/ambient_korotki_1_Sub-Bass Throb.ogg","music","ogg","1.532","132.48","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/ambient_korotki_2_Sub-Bass Throb (1).ogg","music","ogg","0.862","74.44","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/ambient_korotki_3_Sub-Bass Throb (2).ogg","music","ogg","0.624","53.76","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/being_attacked_1_Metallic Alarm Panic.ogg","music","ogg","2.077","179.44","True","2","1","0.7","2"
"Assets/_Project/Audio/Music for Game/being_attacked_2_Metallic Alarm Panic (1).ogg","music","ogg","2.136","184.64","True","2","1","0.7","0"
"Assets/_Project/Audio/Music for Game/being_attacked_3_Metallic Alarm.ogg","music","ogg","1.779","153.6","True","2","1","0.7","0"
