package_id,role_key,import_role,path,exists,sha256_expected,sha256_actual,sha256_match,width,height,mode,bands,runtime_import,srgb,color_space,texture_type,standalone_format,android_format,max_size_low,max_size_middle,max_size_high,max_size_ultra,mipmaps,read_write,channel_contract,channel_min,channel_max,channel_mean,channel_range,channel_pair_delta,luminance_mean,luminance_min,luminance_max,luminance_black_pct,luminance_white_pct,verdict,issues,warnings
TX_B31_WetBasaltShoreline_1429,albedo,Albedo,Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_WetBasaltShoreline_1429/TX_B31_WetBasaltShoreline_1429_AlbedoSource.png,1,b7b25ec2925bd5804c309f95e85aeda3900d5d18553b2b33caf4af38c931b58d,b7b25ec2925bd5804c309f95e85aeda3900d5d18553b2b33caf4af38c931b58d,1,1024,1024,RGB,RGB,1,1,sRGB,Default,BC7,ASTC_6x6,1024,2048,2048,2048,1,0,Base color only; no baked lighting; no direct highlights.,4.0;4.0;4.0;255.0,244.0;244.0;244.0;255.0,77.133;83.885;78.605;255.000,240.0;240.0;240.0;0.0,RG=7.051;RB=5.805;RA=177.867;GB=5.500;GA=171.115;BA=176.395,81.262,4,244,0.0,0.0,PASS_STATIC,,
TX_B31_WetBasaltShoreline_1429,height,HeightSource,Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_WetBasaltShoreline_1429/TX_B31_WetBasaltShoreline_1429_HeightSource.png,1,5b3a0067394162017ed33fac623fad5a2978ac2bacc733a99efc41ff412de5aa,5b3a0067394162017ed33fac623fad5a2978ac2bacc733a99efc41ff412de5aa,1,1024,1024,L,L,0,0,Linear,Default,BC4_or_BC7_after_shader_owner,ASTC_6x6_after_shader_owner,1024,2048,2048,2048,1,0,Offline source for normal/parallax/wear only until shader route explicitly consumes height.,0.0;0.0;0.0;255.0,255.0;255.0;255.0;255.0,98.098;98.098;98.098;255.000,255.0;255.0;255.0;0.0,RG=0.000;RB=0.000;RA=156.902;GB=0.000;GA=156.902;BA=156.902,98.098,0,255,2.295,2.036,PASS_STATIC,,
TX_B31_WetBasaltShoreline_1429,mrao,PackedMask,Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_WetBasaltShoreline_1429/TX_B31_WetBasaltShoreline_1429_MRAOSource.png,1,a5be772445da7829b5e591fc573f686099de011032aadf4cd4b6fbea74c0539b,a5be772445da7829b5e591fc573f686099de011032aadf4cd4b6fbea74c0539b,1,1024,1024,RGB,RGB,0,0,Linear,Default,BC7,ASTC_6x6,1024,2048,2048,2048,1,0,BLOCKED_CHANNEL_SEMANTICS: Source package calls map MRAO; playbook allows R=Metallic G=Roughness/Smoothness B=AO A=Emission/Wetness; target route says _MaskMap ARM R=AO G=Roughness B=Metallic A=Emission/default1.,0.0;114.0;147.0;255.0,0.0;169.0;255.0;255.0,0.000;151.017;188.596;255.000,0.0;55.0;108.0;0.0,RG=151.017;RB=188.596;RA=255.000;GB=39.769;GA=103.983;BA=66.404,110.147,96,117,0.0,0.0,BLOCKED,blocked_channel_semantics_mrao_vs_arm,mrao_R_channel_flat_review
TX_B31_WetBasaltShoreline_1429,normal,Normal,Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_WetBasaltShoreline_1429/TX_B31_WetBasaltShoreline_1429_NormalSource.png,1,7d1e06c266ddb42ed9e8284388d983b2350d37ee9c47e9d999aa486009d5e96f,7d1e06c266ddb42ed9e8284388d983b2350d37ee9c47e9d999aa486009d5e96f,1,1024,1024,RGB,RGB,1,0,Linear,NormalMap,BC5,ASTC_6x6,1024,2048,2048,2048,1,0,"Tangent normal, linear, BC5 where supported.",2.0;2.0;143.0;255.0,252.0;252.0;255.0;255.0,127.518;126.845;213.168;255.000,250.0;250.0;112.0;0.0,RG=80.774;RB=95.728;RA=127.482;GB=97.057;GA=128.155;BA=41.832,136.889,46,213,0.0,0.0,PASS_STATIC,,
TX_B31_WetBasaltShoreline_1429,normal_tile2x2,NormalTilePreview,Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_WetBasaltShoreline_1429/TX_B31_WetBasaltShoreline_1429_Normal_tile2x2.png,1,24f4bf28987843d4bd607cd66ffd301e05ac235541c05a74070c237e3edbc21d,24f4bf28987843d4bd607cd66ffd301e05ac235541c05a74070c237e3edbc21d,1,1024,1024,RGB,RGB,0,0,Linear,ReferenceOnly,DO_NOT_IMPORT_AS_RUNTIME_TEXTURE,DO_NOT_IMPORT_AS_RUNTIME_TEXTURE,0,0,0,0,0,0,2x2 normal seam preview only.,0.0;0.0;131.0;255.0,255.0;255.0;255.0;255.0,127.520;126.846;213.127;255.000,255.0;255.0;124.0;0.0,RG=60.859;RB=89.742;RA=127.480;GB=90.851;GA=128.154;BA=41.873,136.883,35,232,0.0,0.0,PASS_STATIC,,
TX_B31_WetBasaltShoreline_1429,source_crop,SourceReference,Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_WetBasaltShoreline_1429/TX_B31_WetBasaltShoreline_1429_SourceCrop.png,1,c0697ecd96e3c316c391760bc24b87f9a3c8d313c472657bb57d222baf397490,c0697ecd96e3c316c391760bc24b87f9a3c8d313c472657bb57d222baf397490,1,1024,1024,RGB,RGB,0,1,sRGB,ReferenceOnly,DO_NOT_IMPORT_AS_RUNTIME_TEXTURE,DO_NOT_IMPORT_AS_RUNTIME_TEXTURE,0,0,0,0,0,0,Reference crop only.,0.0;0.0;0.0;255.0,255.0;255.0;255.0;255.0,78.193;86.261;79.787;255.000,255.0;255.0;255.0;0.0,RG=8.414;RB=6.477;RA=176.807;GB=6.695;GA=168.739;BA=175.213,83.114,0,255,0.128,0.013,PASS_STATIC,,
TX_B31_WetBasaltShoreline_1429,tile2x2,TilePreview,Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_WetBasaltShoreline_1429/TX_B31_WetBasaltShoreline_1429_Albedo_tile2x2.png,1,58872eca27229ee0d101e9b2a45cfa0a5c43b5809cfebbf48e7c8dd094458b6c,58872eca27229ee0d101e9b2a45cfa0a5c43b5809cfebbf48e7c8dd094458b6c,1,1024,1024,RGB,RGB,0,1,sRGB,ReferenceOnly,DO_NOT_IMPORT_AS_RUNTIME_TEXTURE,DO_NOT_IMPORT_AS_RUNTIME_TEXTURE,0,0,0,0,0,0,2x2 seam preview only.,0.0;0.0;0.0;255.0,255.0;255.0;255.0;255.0,77.134;83.885;78.607;255.000,255.0;255.0;255.0;0.0,RG=7.053;RB=5.790;RA=177.866;GB=5.486;GA=171.115;BA=176.393,81.265,0,255,0.061,0.001,PASS_STATIC,,
TX_B31_PhoticSeabedSubstrate_2102,albedo,Albedo,Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticSeabedSubstrate_2102/TX_B31_PhoticSeabedSubstrate_2102_AlbedoSource.png,1,0f29bb37314c417c3825aee193cb752347cd33ec59245f73c0d5d1d4a36cf898,0f29bb37314c417c3825aee193cb752347cd33ec59245f73c0d5d1d4a36cf898,1,1024,1024,RGB,RGB,1,1,sRGB,Default,BC7,ASTC_6x6,1024,2048,2048,2048,1,0,Base color only; no baked lighting; no direct highlights.,10.0;10.0;10.0;255.0,249.0;249.0;249.0;255.0,170.149;169.027;152.505;255.000,239.0;239.0;239.0;0.0,RG=2.108;RB=17.753;RA=84.851;GB=16.551;GA=85.973;BA=102.495,167.438,10,249,0.0,0.0,PASS_STATIC,,
TX_B31_PhoticSeabedSubstrate_2102,height,HeightSource,Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticSeabedSubstrate_2102/TX_B31_PhoticSeabedSubstrate_2102_HeightSource.png,1,f523e87c49905cfa84b1418b54bae3585f792910d1326a243bb545ecdc870173,f523e87c49905cfa84b1418b54bae3585f792910d1326a243bb545ecdc870173,1,1024,1024,L,L,0,0,Linear,Default,BC4_or_BC7_after_shader_owner,ASTC_6x6_after_shader_owner,1024,2048,2048,2048,1,0,Offline source for normal/parallax/wear only until shader route explicitly consumes height.,0.0;0.0;0.0;255.0,255.0;255.0;255.0;255.0,156.917;156.917;156.917;255.000,255.0;255.0;255.0;0.0,RG=0.000;RB=0.000;RA=98.083;GB=0.000;GA=98.083;BA=98.083,156.917,0,255,2.062,2.043,PASS_STATIC,,
TX_B31_PhoticSeabedSubstrate_2102,mrao,PackedMask,Docs/GeneratedAssets/Batch31_LocalPBR/TX_B31_PhoticSeabedSubstrate_2102/TX_B31_PhoticSeabedSubstrate_2102_MRAOSource.png,1,2c24414fd5b84dfdfc84d74974cd2a4a4dc401647e63beaf0a98e1939e8794a4,2c24414fd5b84dfdfc84d74974cd2a4a4dc401647e63beaf0a98e1939e8794a4,1,1024,1024,RGB,RGB,0,0,Linear,Default,BC7,ASTC_6x6,1024,2048,2048,2048,1,0,BLOCKED_CHANNEL_SEMANTICS: Source package calls map MRAO; playbook allows R=Metallic G=Roughness/Smoothness B=AO A=Emission/Wetness; target route says _MaskMap ARM R=AO G=Roughness B=Metallic A=Emission/default1.,0.0;176.0;147.0;255.0,0.0;204.0;255.0;255.0,0.000;185.798;213.306;255.000,0.0;28.0;108.0;0.0,RG=185.798;RB=213.306;RA=255.000;GB=32.412;GA=69.202;BA=41.694,133.37,129,137,0.0,0.0,BLOCKED,blocked_channel_semantics_mrao_vs_arm,mrao_R_channel_flat_review
