"path","class","extension","size_mb","width","height","has_meta","texture_type","srgb","mipmaps","streaming_mips"
"Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT/Aegir_storms.png","sky_aegir_cloud","png","0.34","4096","2048","True","0","1","1","0"
"Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT/clouds.png","sky_aegir_cloud","png","2.873","4096","2048","True","0","1","1","0"
"Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT/clouds0_diff.png","sky_aegir_cloud","png","10.482","4096","2048","True","0","1","1","0"
"Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/clouds0_diff.png","sky_aegir_cloud","png","7.011","4096","2048","True","0","1","1","0"
"Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/surface_bump.png","unknown","png","0.455","4096","2048","True","0","1","1","0"
"Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/surface_diff.png","unknown","png","1.293","4096","2048","True","0","1","1","0"
"Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/surface_norm.png","unknown","png","1.025","4096","2048","True","0","1","1","0"
"Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/surface_spec.png","unknown","png","0.176","4096","2048","True","0","1","1","0"
"Assets/_Project/Art/Models/Rocks/Rock 6/rock6/Mossy_Forest_Rock_vimrfjsaw_Mid_2K_AO.jpg","terrain_geology","jpg","1.951","2048","2048","True","0","0","1","1"
"Assets/_Project/Art/Models/Rocks/Rock 6/rock6/Mossy_Forest_Rock_vimrfjsaw_Mid_2K_BaseColor.jpg","terrain_geology","jpg","1.936","2048","2048","True","0","1","1","1"
"Assets/_Project/Art/Models/Rocks/Rock 6/rock6/Mossy_Forest_Rock_vimrfjsaw_Mid_2K_Normal.jpg","terrain_geology","jpg","6.57","2048","2048","True","1","0","1","1"
"Assets/_Project/Art/Models/Rocks/Rock 7/Materials/2.jpg","terrain_geology","jpg","5.009","4000","4000","True","0","1","1","1"
"Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/Rock012_2K-JPG_AmbientOcclusion.jpg","terrain_geology","jpg","1.976","2048","2048","True","0","0","1","1"
"Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/Rock012_2K-JPG_Color.jpg","terrain_geology","jpg","4.461","2048","2048","True","0","1","1","1"
"Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/Rock012_2K-JPG_NormalGL.jpg","terrain_geology","jpg","8.798","2048","2048","True","1","0","1","1"
"Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/Rock037_2K-JPG_AmbientOcclusion.jpg","terrain_geology","jpg","2.016","2048","2048","True","0","0","1","1"
"Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/Rock037_2K-JPG_Color.jpg","terrain_geology","jpg","5.556","2048","2048","True","0","1","1","1"
"Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/Rock037_2K-JPG_NormalGL.jpg","terrain_geology","jpg","9.69","2048","2048","True","1","0","1","1"
"Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/Rock063_2K-JPG_AmbientOcclusion.jpg","terrain_geology","jpg","1.201","2048","1024","True","0","0","1","1"
"Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/Rock063_2K-JPG_Color.jpg","terrain_geology","jpg","3.277","2048","1024","True","0","1","1","1"
"Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/Rock063_2K-JPG_NormalGL.jpg","terrain_geology","jpg","3.266","2048","1024","True","1","0","1","1"
