Name,RA,Dec,Dist,AppMagn,SpecClass,MassSol,RadSol,Temperature
HIP 14066/HD 18665,3.02094205,36.1179219,487.804884,7.24999999,K2V,,,
HIP 14775/HD 278329,3.17876994,36.5130485,505.050497,10.1093756,K0V,,,
HIP 12888,2.76132567,32.8238759,476.190497,9.64843834,K0V,,,
HIP 14822/HD 19686,3.18955144,35.0858171,436.681229,8.26953186,G5V,,,
HIP 15416/HD 20468,3.31217329,34.2226754,452.48867,4.84765651,K2II,,,
HIP 13287,2.85045246,35.1612206,467.289711,10.0585947,K2V,,,
HIP 14824/HD 19664,3.18991863,38.0694356,432.900461,7.29687472,M5V,,,
HIP 12765/HD 16954,2.73371395,32.3703883,436.681235,7.36718795,K0V,,,
HIP 14560/HD 19357,3.13297522,35.9479163,411.522592,8.589844,A0V,,,
HIP 16104/HD 275401,3.45747517,38.5779101,465.116255,8.83984457,K0V,,,
HIP 17019/HD 22537,3.64905439,38.7127758,434.78261,8.34765631,A0V,,,
HIP 15877/HD 20994,3.40828579,34.2861221,421.940942,8.6484377,A2V,,,
HIP 16626/HD 22005,3.56544397,32.0835973,432.900466,8.64843761,K2V,,,
HIP 16676/HD 278830,3.57676388,33.0009821,436.681256,9.08984428,K2V,,,
HIP 17815/HD 23730,3.81211828,34.3103421,431.034504,7.11718776,F8V,,,
HIP 18914/HD 25373,4.05360949,34.8335114,413.223163,7.60937531,K0V,,,
HIP 19028/HD 25508,4.07604562,35.9205838,390.625019,7.96874994,A0V,,,
HIP 15454/HD 20489,3.32164273,42.610342,408.163275,8.58984436,K0V,,,
HIP 16336/HD 21578,3.50979929,44.833053,420.168051,8.45703219,A0V,,,
HIP 17112,3.66543467,45.3915684,421.940948,9.36718775,F2V,,,
HIP 17199/HD 22719,3.68306036,44.925141,400.000006,8.18749985,A0V,,,
HIP 17450/HD 23118,3.74053105,44.3572007,398.406377,8.62890676,B9V,,,
HIP 18099/HD 24095,3.86858631,43.6721723,406.504061,8.83984359,A2V,,,
HIP 18447/HD 24598,3.94316536,44.6115345,427.350456,9.86718787,F8V,,,
HIP 14234/HD 18881,3.05887247,38.4100504,408.16327,7.13671922,A0V,,,
HIP 14458/HD 19197,3.10973745,38.6021011,401.60643,8.92968863,A0V,,,
HIP 15124/HD 20098,3.25007309,35.7239285,408.163269,9.04687561,A2V,,,
HIP 15601/HD 20653,3.34819929,38.8853454,386.100405,8.68749986,A0V,,,
HIP 15716/HD 275199,3.37388217,39.5982767,386.100398,9.55859349,A0V,,,
HIP 17323/HD 22961,3.70817011,35.6391656,392.156846,9.54687536,A5V,,,
HIP 13433,2.88280039,26.0368235,436.681239,10.7187507,K2V,,,
HIP 13969/HD 18554,2.99855691,30.6064689,438.596483,8.01953175,K1III,,,
HIP 13973/HD 18561,2.9994612,26.8886807,452.488683,8.46875051,K2V,,,
HIP 14766/HD 19646,3.17761322,28.3373405,450.450412,8.90625039,A0V,,,
HIP 13607,2.92238962,24.7368907,446.428598,8.72656309,K0V,,,
HIP 14451/HD 19246,3.10908455,24.2214039,400.000004,8.67968768,K0V,,,
HIP 14831/HD 19750,3.19183995,26.8459348,414.937749,8.21875028,K2V,,,
HIP 14847/HD 19786,3.19565521,23.9870949,408.163271,8.84765691,A5V,,,
HIP 12295,2.63932641,28.6822431,416.666658,9.24999994,K2V,,,
HIP 13047/HD 17330,2.79405692,29.6785415,436.681229,7.097657,B9V,,,
HIP 13645/HD 18142,2.92813141,31.0431275,396.825407,6.88671972,M3II,,,
HIP 14018/HD 18602,3.00746815,30.5693453,413.223138,8.33984349,G8III,,,
HIP 13362/HD 17789,2.86534485,23.1461048,408.163259,9.11718804,A0V,,,
HIP 13015,2.7890125,25.9778836,392.156859,10.4179691,A2V,,,
HIP 14028,3.01052462,28.3350018,364.963488,9.65624992,A2V,,,
HIP 16243,3.48882558,31.4158682,390.625008,10.4687496,B8V,,,
HIP 17172/HD 22765,3.67785678,29.4546764,420.168013,9.3085944,A5V,,,
HIP 17698/HD 23597,3.79046347,29.8757934,390.625001,8.18749975,B8V,,,
HIP 17735/HD 23625,3.79796198,33.5998807,380.228146,6.65625043,B2V,,,
HIP 18399/HD 279195,3.93383208,33.739466,378.787849,10.3398437,F2V,,,
HIP 17812/HD 23777,3.81163665,25.8007547,393.700796,8.43750027,B9V,,,
HIP 17662/HD 23525,3.78273197,28.6799277,364.963494,8.67968753,A0V,,,
HIP 15447/HD 278548,3.31952986,33.3276521,375.939851,9.34765658,F2V,,,
HIP 16034/HD 21229,3.44186318,31.8215801,389.105066,8.11718717,A3V,,,
HIP 16843/HD 22306,3.61302998,34.3476721,374.531848,6.8789069,K0V,,,
HIP 17306,3.70487826,31.1679453,364.963511,9.72656258,A3V,,,
HIP 17619/HD 23407,3.77442697,37.147805,367.647058,8.53906264,K0V,,,
HIP 15512,3.33206794,25.6149328,369.003708,9.55859472,M0V,,,
HIP 15984,3.43058179,30.9317318,355.871883,9.2070317,B8V,,,
HIP 18008/HD 24039,3.84968173,32.1696476,341.296931,9.28906323,A2V,,,
HIP 10966/HD 14472,2.3541463,37.4230933,438.59649,8.52734404,A3V,,,
HIP 11833/HD 15714,2.54566527,39.5498924,418.409985,7.7773445,B8V,,,
HIP 10647/HD 14017,2.28434012,35.9409036,421.94097,7.87890676,G5V,,,
HIP 10684,2.29168285,33.770989,432.900446,8.06640603,K0V,,,
HIP 11178/HD 14800,2.3985789,33.5078298,416.66667,7.88671884,A0V,,,
HIP 12467,2.67542223,35.2886944,429.184554,8.96874991,G5V,,,
HIP 11583/HD 15348,2.48815719,38.2252239,408.163222,7.26953156,A3V,,,
HIP 9396/HD 12201,2.01275707,41.3611616,414.937732,8.05859372,G5V,,,
HIP 9450,2.02533324,43.6507016,432.900444,9.47656247,B8V,,,
HIP 9526/HD 12412,2.04186958,37.4993064,434.78262,8.58984388,F0III,,,
HIP 9978/HD 13015,2.14158784,42.5164651,427.350421,8.90625042,K0V,,,
HIP 11185/HD 14771,2.40076546,42.1022995,408.163263,6.7187509,K0V,,,
HIP 11414/HD 15080,2.45169211,43.7590977,403.225785,9.1679685,A5V,,,
HIP 11519/HD 15242,2.47604792,41.7490056,398.406381,9.1679691,A0V,,,
HIP 9507,2.03857263,37.3609566,418.410001,9.37890711,K4V,,,
HIP 10643/HD 13984,2.28307942,38.1465049,400.000006,8.79687503,K0V,,,
HIP 13393/HD 17756,2.8729107,42.0209779,395.256918,6.83984424,K0V,,,
HIP 13512/HD 17891,2.9002693,47.1609212,403.225832,6.77734401,B9V,,,
HIP 14207/HD 18830,3.05313009,41.3351709,400.000011,8.33984405,A0V,,,
HIP 14742/HD 19540,3.17238486,45.9404169,406.504047,7.27734373,G5V,,,
HIP 15221,3.2705538,43.6571611,401.606405,8.87890718,K2V,,,
HIP 14430/HD 19110,3.10447563,47.7621933,406.504067,8.2578127,K5V,,,
HIP 15322/HD 20296,3.2942732,46.9489983,367.647056,7.52734374,A0V,,,
HIP 15428,3.31445103,47.2243195,403.225793,9.63671864,F5V,,,
HIP 16135,3.46478303,46.2404802,369.003657,10.1679693,F5V,,,
HIP 12601/HD 16720,2.70029738,39.2920643,381.679423,8.77734419,K0V,,,
HIP 14509/HD 19280,3.12262453,37.810387,392.156867,7.9375003,K5V,,,
HIP 15094/HD 20042,3.24555567,39.9101588,375.939812,9.21875018,A0V,,,
HIP 15059,3.23413936,40.5226091,373.134318,9.23828171,K0V,,,
HIP 15753/HD 20810,3.38251359,44.9663286,363.636352,8.11718789,A0V,,,
HIP 15999/HD 21108,3.43450866,45.2995583,348.432083,7.91797007,B9V,,,
HIP 16188/HD 21377,3.47586778,43.753608,353.356909,7.20703223,A0V,,,
HIP 16487/HD 21795,3.53821793,40.9207583,361.01084,6.72656288,B9V,,,
HIP 11997/HD 15863,2.577858,50.0657722,381.6794,6.97656315,B9V,,,
HIP 13097/HD 232712,2.80673237,51.5432265,373.13431,9.5781253,B9V,,,
HIP 13322,2.85785951,47.1128868,369.003691,9.55859462,B8V,,,
HIP 13443/HD 17786,2.88578642,50.417473,375.939872,9.20703168,F2V,,,
HIP 13635/HD 18041,2.92608334,47.3044567,384.615386,7.01953139,K0V,,,
HIP 13803/HD 232734,2.96273473,52.9010745,359.71222,9.00781257,F2V,,,
HIP 14029/HD 18549,3.01055359,47.8851023,390.624994,7.81640569,A2V,,,
HIP 14118/HD 18685,3.03471862,48.4437406,387.596895,8.66796981,K5V,,,
HIP 15610/HD 232778,3.35003252,50.9931602,377.358501,9.45703169,F8V,,,
HIP 10922/HD 14408,2.34438969,40.4657409,357.142839,8.61718817,A0V,,,
HIP 11779/HD 15623,2.53317147,42.3912993,357.142853,8.17968853,K0V,,,
HIP 11816/HD 15684,2.53978474,40.0853338,366.300358,7.66796931,B9V,,,
HIP 12042/HD 15980,2.58722043,40.5967356,349.65037,7.87890686,B9V,,,
HIP 12559/HD 16655,2.69220082,42.5942021,352.112675,8.48828126,B9V,,,
HIP 12930/HD 17115,2.77211808,45.4509105,362.318826,8.16796918,A0V,,,
HIP 13086/HD 17316,2.80391056,43.6225554,359.712211,7.42968747,B9V,,,
HIP 13099/HD 17308,2.80691051,48.0441499,340.136052,8.85937494,A0V,,,
