"Project","ExitCode","Warnings","Errors","Log"
"Unity.ShaderGraph.Editor.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_Unity_ShaderGraph_Editor_POST_STRICT_20260528_1.log"
"Hecton8.Core.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_Hecton8_Core_POST_STRICT_20260528_1.log"
"MoreMountains.Feedbacks.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_MoreMountains_Feedbacks_POST_STRICT_20260528_1.log"
"Unity.RenderPipelines.Universal.Editor.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_Unity_RenderPipelines_Universal_Editor_POST_STRICT_20260528_1.log"
"Assembly-CSharp-Editor-firstpass.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_Assembly-CSharp-Editor-firstpass_POST_STRICT_20260528_1.log"
"EasySave3.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_EasySave3_POST_STRICT_20260528_1.log"
"Unity.RenderPipelines.Core.Editor.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_Unity_RenderPipelines_Core_Editor_POST_STRICT_20260528_1.log"
"ShapesRuntime.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_ShapesRuntime_POST_STRICT_20260528_1.log"
"Crest.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_Crest_POST_STRICT_20260528_1.log"
"MoreMountains.Tools.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_MoreMountains_Tools_POST_STRICT_20260528_1.log"
"MoreMountains.Tools.Editor.csproj","0","0","0","Docs\Reports\BUILD_COMPILE_MEDIC_TARGET_MoreMountains_Tools_Editor_POST_STRICT_20260528_1.log"
