locale,direction,external_site_content_pages,external_site_missing_pages,external_site_extra_pages,in_game_wiki_content_pages,in_game_wiki_missing_pages,in_game_wiki_extra_pages,missing_dirs,extra_dirs
en_US,ltr,460,0,0,460,0,0,,
ru_RU,ltr,460,0,0,460,0,0,,
ja_JP,ltr,460,0,0,460,0,0,,
zh_CN,ltr,460,0,0,460,0,0,,
fr_FR,ltr,460,0,0,460,0,0,,
es_ES,ltr,460,0,0,460,0,0,,
de_DE,ltr,460,0,0,460,0,0,,
pl_PL,ltr,460,0,0,460,0,0,,
uk_UA,ltr,460,0,0,460,0,0,,
ar_SA,rtl,460,0,0,460,0,0,,
id_ID,ltr,460,0,0,460,0,0,,
ko_KR,ltr,460,0,0,460,0,0,,
he_IL,rtl,460,0,0,460,0,0,,
pt_BR,ltr,460,0,0,460,0,0,,
nl_NL,ltr,460,0,0,460,0,0,,
