frame,entity,flags,aup_x,aup_y,aup_z,vel_x,vel_y,vel_z,sdf_m,speed_mps,hash
1,0,2,99006.164,-1496.523,99009.085,2.366,0.261,547.418,-0.648,547.424,1935616244
1,11,2,98986.850,-1503.812,98986.766,285.990,-141.320,-517.428,-0.223,607.860,781203259
1,15,2,99003.415,-1506.874,98982.679,94.265,-5.916,-255.738,-0.503,272.622,1427768473
1,16,2,99006.638,-1503.437,98985.230,-273.595,-148.723,-574.296,-0.528,653.290,3375193081
1,20,2,98983.524,-1507.929,98990.846,-113.090,143.400,-588.082,-0.820,615.787,3041039562
1,24,2,98998.969,-1490.754,98985.645,466.305,15.159,-363.688,-0.756,591.557,2508203546
1,25,2,99005.081,-1506.244,98984.223,154.259,155.950,-523.593,-1.110,567.685,3303795605
1,30,2,98982.012,-1507.590,98994.164,-203.779,16.968,-147.648,-0.417,252.217,1719103127
1,40,2,98981.509,-1507.491,98998.420,-232.473,-160.817,598.146,-0.344,661.577,501683549
1,44,2,99005.229,-1486.547,99004.140,526.876,129.947,430.415,-2.785,692.634,49738195
1,45,2,99013.107,-1504.559,99001.327,269.530,-28.874,471.035,-0.732,543.465,3047505933
1,50,2,98982.321,-1507.660,99002.178,-308.096,132.806,62.577,-0.646,341.286,226851253
1,53,2,98991.111,-1493.709,99009.866,591.345,-128.107,512.519,-0.100,792.954,601279118
1,54,2,99000.561,-1489.707,99009.618,564.715,31.674,376.857,-1.068,679.652,1645336579
1,62,2,98988.389,-1498.987,99008.950,340.297,127.479,586.032,-0.447,689.555,1337133519
1,66,2,99008.655,-1502.882,99008.981,26.159,42.356,378.031,-0.568,381.294,1973136952
1,75,2,99003.216,-1507.100,99012.735,423.681,-41.885,482.042,-1.158,643.136,530518952
1,76,2,99014.419,-1570.164,99023.396,95.842,-165.226,450.468,-0.541,489.292,2915593143
2,15,2,99003.418,-1506.872,98982.670,91.846,-2.464,-245.597,-0.494,262.221,438805520
2,20,2,98983.488,-1507.920,98990.826,-96.315,137.934,-569.694,-0.776,594.015,2344363416
2,24,2,98998.982,-1490.734,98985.554,441.973,15.180,-335.973,-0.662,555.381,3261281622
2,25,2,99005.087,-1506.241,98984.210,144.729,149.370,-489.980,-1.095,532.295,1394708650
2,40,2,98981.499,-1507.489,98998.421,-212.963,-155.697,565.426,-0.334,623.940,1918498945
2,44,2,99006.252,-1486.237,99005.006,492.602,120.684,400.366,-1.308,646.153,2242180772
2,45,2,99013.141,-1504.551,99001.336,253.923,-29.888,442.111,-0.695,510.717,1549381989
2,54,2,99000.568,-1489.701,99009.642,539.131,30.357,352.636,-1.041,644.931,1623597180
2,75,2,99003.243,-1507.083,99012.805,401.545,-38.050,464.018,-1.081,614.816,2689936903
3,15,2,99003.422,-1506.869,98982.658,91.502,0.826,-238.183,-0.481,255.156,1349081580
3,20,2,98983.447,-1507.910,98990.803,-80.139,132.888,-552.780,-0.726,574.149,882559273
3,24,2,98998.989,-1490.722,98985.500,418.038,14.993,-308.617,-0.606,519.831,3648570049
3,25,2,99005.115,-1506.226,98984.148,134.648,143.204,-459.490,-1.025,499.768,1362731493
