release_set_id,packet_id,locale,field,chars,estimated_px,max_line_px,max_word_px,bound_px,lines,max_lines,expansion_vs_en,issues,source
RS082_DEEP_REACH_ARTIFACT_MEMO_PACK,P406_VARNEK_MARGIN_ACCEPTANCE_MEMO_ARTIFACT,en_US,title,18,179.28,179.28,62.28,360.0,1,1,1.0,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS082_DEEP_REACH_ARTIFACT_MEMO_PACK.packets.json
RS082_DEEP_REACH_ARTIFACT_MEMO_PACK,P406_VARNEK_MARGIN_ACCEPTANCE_MEMO_ARTIFACT,en_US,scanner,85,691.84,439.68,72.0,460.0,2,2,1.0,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS082_DEEP_REACH_ARTIFACT_MEMO_PACK.packets.json
RS082_DEEP_REACH_ARTIFACT_MEMO_PACK,P406_VARNEK_MARGIN_ACCEPTANCE_MEMO_ARTIFACT,en_US,terminal,75,580.8,500.1,80.7,520.0,2,2,1.0,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS082_DEEP_REACH_ARTIFACT_MEMO_PACK.packets.json
RS082_DEEP_REACH_ARTIFACT_MEMO_PACK,P406_VARNEK_MARGIN_ACCEPTANCE_MEMO_ARTIFACT,en_US,audio,51,467.64,467.64,65.52,620.0,1,2,1.0,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS082_DEEP_REACH_ARTIFACT_MEMO_PACK.packets.json
RS082_DEEP_REACH_ARTIFACT_MEMO_PACK,P406_VARNEK_MARGIN_ACCEPTANCE_MEMO_ARTIFACT,en_US,in_game_wiki,163,1258.5,623.1,75.6,620.0,3,5,1.0,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS082_DEEP_REACH_ARTIFACT_MEMO_PACK.packets.json
RS082_DEEP_REACH_ARTIFACT_MEMO_PACK,P406_VARNEK_MARGIN_ACCEPTANCE_MEMO_ARTIFACT,en_US,external_site,115,912.96,634.56,85.76,680.0,2,4,1.0,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS082_DEEP_REACH_ARTIFACT_MEMO_PACK.packets.json
RS082_DEEP_REACH_ARTIFACT_MEMO_PACK,P406_VARNEK_MARGIN_ACCEPTANCE_MEMO_ARTIFACT,en_US,field_note,52,367.08,367.08,63.28,560.0,1,3,1.0,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS082_DEEP_REACH_ARTIFACT_MEMO_PACK.packets.json
RS082_DEEP_REACH_ARTIFACT_MEMO_PACK,P406_VARNEK_MARGIN_ACCEPTANCE_MEMO_ARTIFACT,ru_RU,title,12,123.12,123.12,74.16,360.0,1,1,0.687,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS082_DEEP_REACH_ARTIFACT_MEMO_PACK.packets.json
RS082_DEEP_REACH_ARTIFACT_MEMO_PACK,P406_VARNEK_MARGIN_ACCEPTANCE_MEMO_ARTIFACT,ru_RU,scanner,91,772.48,453.12,92.8,460.0,2,2,1.117,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS082_DEEP_REACH_ARTIFACT_MEMO_PACK.packets.json
RS082_DEEP_REACH_ARTIFACT_MEMO_PACK,P406_VARNEK_MARGIN_ACCEPTANCE_MEMO_ARTIFACT,ru_RU,terminal,75,616.5,454.5,113.1,520.0,2,2,1.061,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS082_DEEP_REACH_ARTIFACT_MEMO_PACK.packets.json
