"file","name","layoutKind","layoutSize","sizeExpression","estimatedSequentialSize","estimatedExplicitDataEnd","fieldCount","unresolved"
"Assets/_Project/Scripts/AI/Sensory/AcousticEchoLocationRuntime.cs","AcousticEchoBlackBoxEntry","Explicit","80","80","80","80","14",""
"Assets/_Project/Scripts/Animation/LeviathanTerrainIkJobs.cs","LeviathanTerrainIkTelemetryEntry","Explicit","96","96","96","96","13",""
"Assets/_Project/Scripts/AI/Pathfinding/PathFunnelContracts.cs","PathFunnelTelemetryEntry","Explicit","48","PathFunnelContractLayout.TelemetryEntryStrideBytes","48","48","12",""
"Assets/_Project/Scripts/Animation/Locomotion/LadderClimbIkJobs.cs","LadderClimbTelemetryEntry","Explicit","128","128","128","128","17",""
"Assets/_Project/Scripts/Audio/Editor/ShinobuAcousticDspSmokeTester.cs","AcousticTelemetryEntry","Implicit",,,"0",,"0",""
"Assets/_Project/Scripts/Animation/VRPhysicalHandPresenceIkJobs.cs","VRHandIkTelemetryEntry","Explicit","128","128","128","128","22",""
"Assets/_Project/Scripts/EncounterDirector.cs","EncounterDirectorBlackBoxEntry","Explicit","48","48","48","48","10",""
"Assets/_Project/Scripts/Fauna/StressDrivenSpawnDirector.cs","DirectorTelemetryEntry","Explicit","192","192","104","192","26","PlayerAup|LastSpawnAup"
"Assets/_Project/Scripts/Fauna/PredatorCognitionDomain.cs","RetinalTelemetryEntry","Explicit","32","32","32","32","8",""
"Assets/_Project/Scripts/AI/Cognition/ShinobuApexBrainContracts.cs","ApexTelemetryEntry","Explicit","128","ApexBrainContractLayout.TelemetryEntryStrideBytes","128","128","37",""
"Assets/_Project/Scripts/Core/SystemDispatcherContracts.cs","DispatcherPipelineTelemetryEntry","Explicit","32","32","32","32","8",""
"Assets/_Project/Scripts/Core/Hardware/HardwareThermalService.cs","HardwareThermalTelemetryEntry","Explicit","24","24","24","24","14",""
"Assets/_Project/Scripts/Environment/HectonSeismicTideDirector.cs","SeismicTideTelemetryEntry","Explicit","40","40","40","40","7",""
"Assets/_Project/Scripts/HectonBoidController.cs","BoidBlackBoxEntry","Explicit","128","BoidBlackBoxStride","128","128","20",""
"Assets/_Project/Scripts/Core/Memory/GlobalDataVault.cs","MemoryDefragTelemetryEntry","Explicit","128","128","128","128","28",""
"Assets/_Project/Scripts/Core/Memory/Editor/OOP_MemorySentryConcurrentRelocationFuzzer.cs","FuzzerTelemetryEntry","Sequential","64","64","64",,"10",""
"Assets/_Project/Scripts/Core/HomeostasisBrain.ScalabilityDictator.cs","ScalabilityTelemetryEntry","Explicit","32","32","32","32","7",""
"Assets/_Project/Scripts/Graphics/Scalability/ThermalDynamicResolutionAdapter.cs","DrsTelemetryEntry","Explicit","48","48","48","48","16",""
"Assets/_Project/Scripts/Core/Origin/AupOriginShiftCoordinator.cs","AupOriginShiftTelemetryEntry","Explicit","128","128","128","128","19",""
"Assets/_Project/Scripts/Graphics/Culling/TBDRPipelineSurgeonTypes.cs","TBDRPipelineTelemetryEntry","Explicit","32","32","32","32","8",""
"Assets/_Project/Scripts/Core/Contracts/MacroDatabaseContracts.cs","MacroDatabaseTelemetryEntry","Explicit","72","72","72","72","18",""
"Assets/_Project/Scripts/ConstructionManager.cs","HabitatDeconstructionTelemetryEntry","Explicit","32","32","32","32","11",""
"Assets/_Project/Scripts/Interaction/VRInteractionKinematicBridge.cs","VRInteractionTelemetryEntry","Explicit","128","128","128","128","16",""
"Assets/_Project/Scripts/Gameplay/DataArchaeologyRuntime.cs","DataArchaeologyTelemetryEntry","Explicit","32","32","32","32","8",""
"Assets/_Project/Scripts/Gameplay/ContextualPhysicalIkRuntime.cs","ContextualPhysicalIkTelemetryEntry","Explicit","96","96","96","96","12",""
"Assets/_Project/Scripts/Gameplay/VRSomaticProvider.cs","SomaticTelemetryEntry","Explicit","96","96","96","96","34",""
"Assets/_Project/Scripts/Gameplay/VRSomaticProvider.cs","VRSomaticBlackBoxEntry","Explicit","128","128","128","128","45",""
"Assets/_Project/Scripts/Construction/VehicleDockingModule.cs","DockTelemetryEntry","Explicit","128","128","128","128","21",""
"Assets/_Project/Scripts/Gameplay/SubmarineAutoLevelBallastController.cs","SubmarinePidTelemetryEntry","Explicit","128","128","128","128","19",""
"Assets/_Project/Scripts/Gameplay/SomaticKinematicsRuntime.cs","SomaticKinematicBlackBoxEntry","Explicit","96","96","96","96","11",""
"Assets/_Project/Scripts/Construction/HabitatGraphManager.cs","HabitatFloodBlackBoxEntry","Explicit","48","48","48","48","20",""
"Assets/_Project/Scripts/Construction/FluidPipeGraphTypes.cs","FluidPipeTelemetryEntry","Explicit","32","32","32","32","8",""
"Assets/_Project/Scripts/Gameplay/PlayerKinematicsRuntime_HandIK.cs","IkHandTelemetryEntry","Explicit","128","128","128","128","20",""
"Assets/_Project/Scripts/Gameplay/PlayerKinematicsRuntime.cs","PlayerKinematicsRuntimeTelemetryEntry","Explicit","80","80","80","80","14",""
"Assets/_Project/Scripts/Construction/DroneFleetManager.cs","DroneFleetBlackBoxEntry","Explicit","80","80","80","80","14",""
"Assets/_Project/Scripts/HectonPlayerMovement.cs","CinematicFocusTelemetryEntry","Explicit","96","96","96","96","17",""
"Assets/_Project/Scripts/Gameplay/Loot/Contracts/LootMagnetContracts.cs","LootMagnetTelemetryEntry","Explicit","128","128","128","128","10",""
"Assets/_Project/Scripts/World/WorldChunkResidencyManager.cs","ChunkResidencyTelemetryEntry","Explicit","72","72","72","72","15",""
"Assets/_Project/Scripts/PlayerInventory.cs","SalinityCorrosionTelemetryEntry","Explicit","32","SalinityCorrosionBlackBoxEntrySizeBytes","32","32","8",""
"Assets/_Project/Scripts/Narrative/Prologue/AwaitableDropSequenceDirector.cs","PrologueSequenceTelemetryEntry","Explicit","32","32","32","32","8",""
"Assets/_Project/Scripts/Narrative/Campaign/MetaCampaignService.cs","MetaCampaignBlackBoxEntry","Explicit","32","32","32","32","9",""
"Assets/_Project/Scripts/ModdingAPI/ModEventProjectionBridge.cs","ModCullTelemetryEntry","Explicit","32","32","24","24","6",""
"Assets/_Project/Scripts/Physics/Vehicles/VehicleComponentDamageContracts.cs","VehicleDamageTelemetryEntry","Explicit","128","128","128","128","20",""
"Assets/_Project/Scripts/Physics/Cavitation/AbyssalCavitationContracts.cs","ShockwaveTelemetryEntry","Explicit","80","80","80","80","14",""
"Assets/_Project/Scripts/World/Resources/WorldRegrowthSimulation.cs","WorldRegrowthTelemetryEntry","Explicit","48","WorldRegrowthSimulationLayout.WorldRegrowthTelemetryEntryStrideBytes","48","48","12",""
"Assets/_Project/Scripts/World/Outposts/MarauderOutpostJobs.cs","OutpostTelemetryEntry","Explicit","128","MarauderOutpostJobsLayout.OutpostTelemetryEntryStrideBytes","128","128","20",""
"Assets/_Project/Scripts/Rendering/HectonUberNoirRuntimeBridge.cs","UberNoirShaderTelemetryEntry","Explicit","48","TelemetryEntrySizeBytes","48","48","12",""
"Assets/_Project/Scripts/Power/Generators/RadioisotopeThermalGenerator.cs","RtgTelemetryEntry","Explicit","32","32","32","32","9",""
"Assets/_Project/Scripts/Scavenging/ScavengingLootOracle.cs","ScavengingTelemetryEntry","Explicit","128","ScavengingLootOracleConstants.TelemetryEntrySizeBytes","128","128","17",""
"Assets/_Project/Scripts/QA/QAEnduranceWatchdogBot.cs","QAEnduranceBlackBoxEntry","Explicit","128","128","128","128","13",""
"Assets/_Project/Scripts/ScannerTool.cs","ScannerBlackBoxEntry","Explicit","128","128","128","128","21",""
"Assets/_Project/Scripts/SaveManager.cs","AsyncPersistenceTelemetryEntry","Explicit","32","32","32","32","8",""
"Assets/_Project/Scripts/QA/Headless/HeadlessSimulationRunner.cs","HeadlessTelemetryEntry","Explicit","72","72","72","72","13",""
"Assets/_Project/Scripts/SubmarineFluidDynamics.cs","HydroBlackBoxEntry","Explicit","128","128","120","120","18",""
"Assets/_Project/Scripts/Thermodynamics/ReactorThermalGridContracts.cs","ReactorThermalTelemetryEntry","Explicit","128","128","128","128","23",""
"Assets/_Project/Scripts/Thermodynamics/ReactorThermalGridContracts.cs","NuclearReactorTelemetryEntry","Explicit","128","128","128","128","23",""
"Assets/_Project/Scripts/Prologue/VFX/OrbitalDropReentryVfxController.cs","ReentryVfxTelemetryEntry","Explicit","48","48","48","48","16",""
"Assets/_Project/Scripts/UI/DiegeticVisorHudMesh.cs","DiegeticHudTelemetryEntry","Explicit","40","40","40","40","13",""
"Assets/_Project/Scripts/World/HectonIndirectVegetationRenderer.cs","FloraGrowthTelemetryEntry","Explicit","40","40","40","40","10",""
"Assets/_Project/Scripts/World/HectonIndirectVegetationRenderer.cs","ScatterCullTelemetryEntry","Explicit","40","40","40","40","10",""
"Assets/_Project/Scripts/UI/DiegeticTooltipSystem.cs","TooltipBlackBoxEntry","Explicit","32","32","32","32","8",""
"Assets/_Project/Scripts/UI/VR/OpenXRManualOverrideLever.cs","ManualOverrideLeverTelemetryEntry","Explicit","48","48","48","48","14",""
"Assets/_Project/Scripts/Tools/WfcLaserCutRuntime.cs","WfcLaserCutTelemetryEntry","Explicit","96","96","96","96","15",""
"Assets/_Project/Scripts/Tools/LaserCutterDodContracts.cs","LaserCutTelemetryEntry","Explicit","128","128","128","128","19",""
"Assets/_Project/Scripts/UI/TopographicalSonar/TopographicalSonarSynthesizer.cs","TopographicalSonarTelemetryEntry","Explicit","128","128","128","128","21",""
"Assets/_Project/Scripts/World/FloraAmbientSway/FloraAmbientSwayRuntime.cs","SwayTelemetryEntry","Explicit","32","32","32","32","8",""
"Assets/_Project/Scripts/UI/PDADecryptionSpectrogramPanel.cs","FrequencyTuningTelemetryEntry","Explicit","32","32","32","32","10",""
"Assets/_Project/Scripts/VoxelDeltaProcessor.cs","VoxelCarveTelemetryEntry","Explicit","80","80","80","80","18",""
"Assets/_Project/Scripts/World/EcosystemDirector.cs","MacroSwarmTelemetryEntry","Explicit","32","32","32","32","8",""
"Assets/_Project/Scripts/World/EcosystemDirector.cs","FaunaMutationTelemetryEntry","Explicit","48","48","48","48","12",""
"Assets/_Project/Scripts/World/EcosystemDirector.cs","BiomassTelemetryEntry","Explicit","32","32","32","32","8",""
"Assets/_Project/Scripts/World/Biolum/HectonBiolumManager.cs","BiolumTelemetryEntry","Explicit","32","32","32","32","10",""
"Assets/_Project/Scripts/Visor/SpectrumSystem.cs","ActiveSonarGeoTelemetryEntry","Explicit","32","32","32","32","9",""
"Assets/_Project/Scripts/Visor/InternalFloodWaterlineRuntime.cs","WaterlineTelemetryEntry","Explicit","40","TelemetryEntrySizeBytes","40","40","12",""
"Assets/_Project/Scripts/Visor/HectonVisorFluidDistortionFeature.cs","VisorRefractionTelemetryEntry","Explicit","48","BlackBoxEntrySizeBytes","48","48","13",""
"Assets/_Project/Scripts/VFX/Bioluminescence/BiolumPulseSyncRuntime.cs","BiolumPulseTelemetryEntry","Explicit","32","32","32","32","10",""
